れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
年内	名詞,一般,*,*,*,*,年内,ネンナイ,ネンナイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
勝てる	動詞,自立,*,*,一段,基本形,勝てる,カテル,カテル
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見つけ	動詞,自立,*,*,一段,連用形,見つける,ミツケ,ミツケ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
それでも	接続詞,*,*,*,*,*,それでも,ソレデモ,ソレデモ
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
『	記号,括弧開,*,*,*,*,『,『,『
後	名詞,一般,*,*,*,*,後,コウ,コー
出し	名詞,接尾,一般,*,*,*,出し,ダシ,ダシ
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
…	記号,一般,*,*,*,*,…,…,…
…	記号,一般,*,*,*,*,…,…,…
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
話す	動詞,自立,*,*,五段・サ行,基本形,話す,ハナス,ハナス
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
15	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
02	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
"
"「	記号,括弧開,*,*,*,*,「,「,「
全員	名詞,一般,*,*,*,*,全員,ゼンイン,ゼンイン
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
」	記号,括弧閉,*,*,*,*,」,」,」
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
転換	名詞,サ変接続,*,*,*,*,転換,テンカン,テンカン
、	記号,読点,*,*,*,*,、,、,、
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
も	助詞,係助詞,*,*,*,*,も,モ,モ
 	記号,一般,*,*,*,*,*
福島	名詞,固有名詞,地域,一般,*,*,福島,フクシマ,フクシマ
原発	名詞,一般,*,*,*,*,原発,ゲンパツ,ゲンパツ
　	記号,空白,*,*,*,*,　,　,　
政府	名詞,一般,*,*,*,*,政府,セイフ,セイフ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原子力	名詞,一般,*,*,*,*,原子力,ゲンシリョク,ゲンシリョク
災害	名詞,一般,*,*,*,*,災害,サイガイ,サイガイ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
本部	名詞,一般,*,*,*,*,本部,ホンブ,ホンブ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
東京電力	名詞,固有名詞,組織,*,*,*,東京電力,トウキョウデンリョク,トーキョーデンリョク
福島	名詞,固有名詞,地域,一般,*,*,福島,フクシマ,フクシマ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
一	名詞,数,*,*,*,*,一,イチ,イチ
原発	名詞,一般,*,*,*,*,原発,ゲンパツ,ゲンパツ
事故	名詞,一般,*,*,*,*,事故,ジコ,ジコ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
復興	名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー
加速	名詞,サ変接続,*,*,*,*,加速,カソク,カソク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向け	動詞,自立,*,*,一段,連用形,向ける,ムケ,ムケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
新た	名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
指針	名詞,一般,*,*,*,*,指針,シシン,シシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
POLITICS	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解除	名詞,サ変接続,*,*,*,*,解除,カイジョ,カイジョ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
、	記号,読点,*,*,*,*,、,、,、
早期	名詞,一般,*,*,*,*,早期,ソウキ,ソーキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
住民	名詞,一般,*,*,*,*,住民,ジュウミン,ジューミン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
東電	名詞,固有名詞,組織,*,*,*,東電,トウデン,トーデン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
追加	名詞,サ変接続,*,*,*,*,追加,ツイカ,ツイカ
賠償	名詞,サ変接続,*,*,*,*,賠償,バイショウ,バイショー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
再建	名詞,サ変接続,*,*,*,*,再建,サイケン,サイケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
後押し	名詞,サ変接続,*,*,*,*,後押し,アトオシ,アトオシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
一方	名詞,非自立,副詞可能,*,*,*,一方,イッポウ,イッポー
、	記号,読点,*,*,*,*,、,、,、
長期	名詞,一般,*,*,*,*,長期,チョウキ,チョーキ
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
避け	動詞,自立,*,*,一段,未然形,避ける,サケ,サケ
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
住民	名詞,一般,*,*,*,*,住民,ジュウミン,ジューミン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
住宅	名詞,一般,*,*,*,*,住宅,ジュウタク,ジュータク
費	名詞,接尾,一般,*,*,*,費,ヒ,ヒ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
全員	名詞,一般,*,*,*,*,全員,ゼンイン,ゼンイン
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
」	記号,括弧閉,*,*,*,*,」,」,」
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
前提	名詞,一般,*,*,*,*,前提,ゼンテイ,ゼンテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
従来	名詞,副詞可能,*,*,*,*,従来,ジュウライ,ジューライ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
転換	名詞,サ変接続,*,*,*,*,転換,テンカン,テンカン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
指針	名詞,一般,*,*,*,*,指針,シシン,シシン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
首相	名詞,一般,*,*,*,*,首相,シュショウ,シュショー
官邸	名詞,一般,*,*,*,*,官邸,カンテイ,カンテイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
同日	名詞,副詞可能,*,*,*,*,同日,ドウジツ,ドージツ
開か	動詞,自立,*,*,五段・カ行イ音便,未然形,開く,ヒラカ,ヒラカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
原子力	名詞,一般,*,*,*,*,原子力,ゲンシリョク,ゲンシリョク
災害	名詞,一般,*,*,*,*,災害,サイガイ,サイガイ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
本部	名詞,一般,*,*,*,*,本部,ホンブ,ホンブ
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
決定	名詞,サ変接続,*,*,*,*,決定,ケッテイ,ケッテイ
。	記号,句点,*,*,*,*,。,。,。
住民	名詞,一般,*,*,*,*,住民,ジュウミン,ジューミン
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
策	名詞,接尾,一般,*,*,*,策,サク,サク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
住民	名詞,一般,*,*,*,*,住民,ジュウミン,ジューミン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
個人	名詞,一般,*,*,*,*,個人,コジン,コジン
被曝	名詞,サ変接続,*,*,*,*,被曝,ヒバク,ヒバク
(	名詞,サ変接続,*,*,*,*,*
ひばく	名詞,サ変接続,*,*,*,*,ひばく,ヒバク,ヒバク
)	名詞,サ変接続,*,*,*,*,*
量	名詞,接尾,一般,*,*,*,量,リョウ,リョウ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
把握	名詞,サ変接続,*,*,*,*,把握,ハアク,ハアク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
様式	名詞,一般,*,*,*,*,様式,ヨウシキ,ヨーシキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
たき	助動詞,*,*,*,特殊・タイ,体言接続,たい,タキ,タキ
め	名詞,一般,*,*,*,*,め,メ,メ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
細かい	形容詞,自立,*,*,形容詞・アウオ段,基本形,細かい,コマカイ,コマカイ
被曝	名詞,サ変接続,*,*,*,*,被曝,ヒバク,ヒバク
低減	名詞,サ変接続,*,*,*,*,低減,テイゲン,テイゲン
策	名詞,接尾,一般,*,*,*,策,サク,サク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行える	動詞,自立,*,*,一段,基本形,行える,オコナエル,オコナエル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
、	記号,読点,*,*,*,*,、,、,、
健康	名詞,形容動詞語幹,*,*,*,*,健康,ケンコウ,ケンコー
相談	名詞,サ変接続,*,*,*,*,相談,ソウダン,ソーダン
体制	名詞,一般,*,*,*,*,体制,タイセイ,タイセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
充実	名詞,サ変接続,*,*,*,*,充実,ジュウジツ,ジュージツ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
東電	名詞,固有名詞,組織,*,*,*,東電,トウデン,トーデン
賠償	名詞,サ変接続,*,*,*,*,賠償,バイショウ,バイショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
上乗せ	名詞,サ変接続,*,*,*,*,上乗せ,ウワノセ,ウワノセ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
再建	名詞,サ変接続,*,*,*,*,再建,サイケン,サイケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
後押し	名詞,サ変接続,*,*,*,*,後押し,アトオシ,アトオシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
一方	接続詞,*,*,*,*,*,一方,イッポウ,イッポー
、	記号,読点,*,*,*,*,、,、,、
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
区域	名詞,一般,*,*,*,*,区域,クイキ,クイキ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
早期	名詞,一般,*,*,*,*,早期,ソウキ,ソーキ
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ
住民	名詞,一般,*,*,*,*,住民,ジュウミン,ジューミン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
東電	名詞,固有名詞,組織,*,*,*,東電,トウデン,トーデン
賠償	名詞,サ変接続,*,*,*,*,賠償,バイショウ,バイショー
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
住宅	名詞,一般,*,*,*,*,住宅,ジュウタク,ジュータク
取得	名詞,サ変接続,*,*,*,*,取得,シュトク,シュトク
費	名詞,接尾,一般,*,*,*,費,ヒ,ヒ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
援助	名詞,サ変接続,*,*,*,*,援助,エンジョ,エンジョ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
慰謝	名詞,サ変接続,*,*,*,*,慰謝,イシャ,イシャ
料	名詞,接尾,一般,*,*,*,料,リョウ,リョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一括払い	名詞,サ変接続,*,*,*,*,一括払い,イッカツバライ,イッカツバライ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通じ	動詞,自立,*,*,一段,連用形,通じる,ツウジ,ツージ
、	記号,読点,*,*,*,*,、,、,、
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
軌道	名詞,一般,*,*,*,*,軌道,キドウ,キドー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
乗る	動詞,自立,*,*,五段・ラ行,基本形,乗る,ノル,ノル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
。	記号,句点,*,*,*,*,。,。,。
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
も	助詞,係助詞,*,*,*,*,も,モ,モ
なお	接続詞,*,*,*,*,*,なお,ナオ,ナオ
放射線	名詞,一般,*,*,*,*,放射線,ホウシャセン,ホーシャセン
量	名詞,接尾,一般,*,*,*,量,リョウ,リョウ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
高く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,高い,タカク,タカク
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
解除	名詞,サ変接続,*,*,*,*,解除,カイジョ,カイジョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
見通し	名詞,一般,*,*,*,*,見通し,ミトオシ,ミトーシ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
立た	動詞,自立,*,*,五段・タ行,未然形,立つ,タタ,タタ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
現実	名詞,一般,*,*,*,*,現実,ゲンジツ,ゲンジツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
直視	名詞,サ変接続,*,*,*,*,直視,チョクシ,チョクシ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
帰還	名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
前提	名詞,一般,*,*,*,*,前提,ゼンテイ,ゼンテイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
も	助詞,係助詞,*,*,*,*,も,モ,モ
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
盛り込ん	動詞,自立,*,*,五段・マ行,連用タ接続,盛り込む,モリコン,モリコン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
15	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
01	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
clear	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
both	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
url	名詞,一般,*,*,*,*,*
(/	名詞,サ変接続,*,*,*,*,*
g	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
btn	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
yp	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
bk	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
gif	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
100	名詞,数,*,*,*,*,*
%	名詞,サ変接続,*,*,*,*,*
repeat	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
x	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
border	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
solid	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
fedcdc	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
text	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
align	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
center	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
relative	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
margin	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
bottom	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
10	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
border	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
radius	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
8	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;-	名詞,サ変接続,*,*,*,*,*
moz	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
border	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
radius	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
8	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;-	名詞,サ変接続,*,*,*,*,*
webkit	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
border	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
radius	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
8	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
rest	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
49	名詞,数,*,*,*,*,*
%;	名詞,サ変接続,*,*,*,*,*
float	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
left	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
regist	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
49	名詞,数,*,*,*,*,*
%;	名詞,サ変接続,*,*,*,*,*
float	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
right	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
text	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
align	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
center	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
241	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
margin	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
5	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
auto	名詞,一般,*,*,*,*,*
